name,price,discount,url,image,rating,comments
"Quạt mini GOOJODOQ cầm tay với 4000mAh,5 bánh răng gió mạnh,điều chỉnh mức 100 Level,Tiếng ồn nhỏ,có thể gập lại","169,000", -44%,https://www.lazada.vn/products/pdp-i2871595253-s15060638110.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A15060638110%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A169000%3BdisplayPrice%3A169000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,98,(1514)
"Chân đế Dome chuyên dụng cho Camera xoay Wifi Ezviz, yoosee, super guard Imou, Kbone","14,000", -52%,https://www.lazada.vn/products/pdp-i2225482580-s10657238581.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A10657238581%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A14000%3BdisplayPrice%3A14000%3BsinglePromotionId%3A900000052212796%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,https://img.lazcdn.com/g/p/f2ecff49e5b451d3ca445d6b254a3f2c.jpg_400x400q80.jpg,98,(62)
sạc ác quy 12v 24v tự ngắt 6-400ah may sac bình ắc quy tự động sạc bình ắc quy 12v tự động sạc bình ắc quy 12v 30ah,"159,000", -55%,https://www.lazada.vn/products/pdp-i2513284151-s12319963299.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A12319963299%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A159000%3BdisplayPrice%3A159000%3BsinglePromotionId%3A900000052352222%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,https://img.lazcdn.com/g/ff/kf/S481ed00a57274ac8956afe1f8c0764f9N.png_400x400q80.png,94,(1077)
"SẠC DỰ PHÒNG MẶT GƯƠNG ĐEN 30000MAH - PIN DỰ PHÒNG , PIN TRÂU GIÁ TỐT - PIN SẠC DỰ PHÒNG CAO CẤP, MẶT GƯƠNG ĐEN NHIỀU MÀU SẮC - SẠC DỰ PHÒNG 30.000MAH DUNG LƯỢNG KHỦNG, SẠC NHANH, CÓ ĐÈN LED","70,565", -93%,https://www.lazada.vn/products/pdp-i3001213030-s14463033218.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A14463033218%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A70565%3BdisplayPrice%3A70565%3BsinglePromotionId%3A900000051332024%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,https://img.lazcdn.com/g/p/3e6702ba5007234731468e8409a88bc0.png_400x400q80.png,88,(183)
[SIÊU GIẢM GIÁ] Nước Tẩy Trang L'Oréal Paris Micellar Water 400ml Hasaki Sản Phẩm Chính Hãng,"85,000", -50%,https://www.lazada.vn/products/pdp-i1871024336-s15018917395.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A15018917395%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A85000%3BdisplayPrice%3A85000%3BsinglePromotionId%3A900000052384018%3BsingleToolCode%3AmillionSubsidy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(1523)
JIASHI 4200Mbps High-Speed WiFi Signal Booster Amplifier Wireless Range Extender,"21,000", -30%,https://www.lazada.vn/products/pdp-i3125781000-s14935697595.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A14935697595%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A21000%3BdisplayPrice%3A21000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,No image,80,(308)
BIC J6 cỡ lớn của Pháp ( Hộp Quẹt Bic J6 size to ),"98,315", -44%,https://www.lazada.vn/products/pdp-i2474219392-s12116073217.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A12116073217%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A98315%3BdisplayPrice%3A98315%3BsinglePromotionId%3A900000052212796%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,98,(350)
(CHỈ 20-22.8 GIÁ TỐT MUA NGAY-SLCH) Sữa bột Glucerna hương vani 800g,"860,000", -13%,https://www.lazada.vn/products/pdp-i2567999464-s12546848660.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A12546848660%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A860000%3BdisplayPrice%3A860000%3BsinglePromotionId%3A900000052352222%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(22161)
"Giấy vệ sinh treo tường Top Gia thùng 6 bịch đa sắc làm từ bột giấy thiên nhiên, 1280 tờ 4 lớp dày dặn","120,000", -45%,https://www.lazada.vn/products/pdp-i2581764776-s12584860860.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A12584860860%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A120000%3BdisplayPrice%3A120000%3BsinglePromotionId%3A900000052384018%3BsingleToolCode%3AmillionSubsidy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,No image,100,(8663)
1KG ĐẬU PHỘNG ( Lạc sống)  An Phương- SHOP ANPHUONG,"51,473", -25%,https://www.lazada.vn/products/pdp-i1486690075-s6205069418.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A6205069418%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A51473%3BdisplayPrice%3A51473%3BsinglePromotionId%3A900000052212796%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,https://img.lazcdn.com/g/p/3a04984c75770c4c91e9fac8b04ccc2a.jpg_400x400q80.jpg,96,(511)
[Combo 2 Hộp ] Men Vi Sinh BioGaia Protectis Drops Tăng Cường Tiêu Hóa Và Miễn Dịch Khỏe Cho Bé 5ml - Bibo Mart,"920,000",No discount,https://www.lazada.vn/products/pdp-i3061560070-s14724608015.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A14724608015%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A920000%3BdisplayPrice%3A920000%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(240)
Siêu Camera Yoosee  PA40L 4 Mắt Kép – Xem 3 Màn Hình – Xoay 360 Độ – Độ Phân Giải Khủng 12.0Mpxa,"573,000", -33%,https://www.lazada.vn/products/pdp-i3100749521-s14860275319.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A14860275319%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A573000%3BdisplayPrice%3A573000%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,https://img.lazcdn.com/g/p/0a17c0005dbdc8083dd3fe9e1f51391f.jpg_400x400q80.jpg,98,(30)
Quần Tây Nữ Lưng Cao Đi Học Làm Công Sở Ống Đứng Suông Dài Màu Đen Dáng Quần Vải Baggy Cạp Cao Nữ Công Sở Học Sinh,"75,000", -44%,https://www.lazada.vn/products/pdp-i2018968916-s9403077882.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9403077882%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A75000%3BdisplayPrice%3A75000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,https://img.lazcdn.com/g/p/5207888f6229632d9967b7449bebd542.jpg_400x400q80.jpg,96,(799)
"Ổ cắm chịu tải Panagold 2500W 8 ổ, dây dài 5m màu đỏ, kèm 2 công tắc chống quá tải","82,000",No discount,https://www.lazada.vn/products/pdp-i3062924681-s14728890649.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A14728890649%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A82000%3BdisplayPrice%3A82000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,https://img.lazcdn.com/g/p/257cdb6f03d6a782d40ea3a817cc29ad.jpg_400x400q80.jpg,100,(16)
Combo 2 Thùng 24 Chai Nước Tăng Lực Sting Dâu (330ml/chai),"442,000", -18%,https://www.lazada.vn/products/pdp-i2245945138-s10795526700.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A10795526700%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A442000%3BdisplayPrice%3A442000%3BsinglePromotionId%3A900000052384018%3BsingleToolCode%3AmillionSubsidy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(6408)
"khò mini cầm tay D-605, nhỏ gọn rễ dùng - tặng kèm 1 đầu bơm đa năng, hết nạp lại.","139,000", -30%,https://www.lazada.vn/products/pdp-i3155188446-s15035567858.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A15035567858%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A139000%3BdisplayPrice%3A139000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,https://img.lazcdn.com/g/ff/kf/S1298b864a5b546f1845e02868412cb69W.jpg_400x400q80.jpg,98,(27)
"Flash Sale 2L Gaabor Af20M-Ye01A Oil-Free Fryer with Automatic Power Off, Non-Stick Tray, Fast Heating - Energy Saving - 12-Month Warranty, 1 for 1 Exchange","439,000", -56%,https://www.lazada.vn/products/pdp-i2345156451-s11418904586.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A11418904586%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A439000%3BdisplayPrice%3A439000%3BsinglePromotionId%3A900000052352222%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,98,(331)
EJM171 - Lock&Lock Meat Grinder - 2L/300W - Glass jar - Stainless steel double blade - 2 grinding levels - 2 year warranty,"857,000", -46%,https://www.lazada.vn/products/pdp-i258723679-s359436976.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A359436976%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A857000%3BdisplayPrice%3A857000%3BsinglePromotionId%3A900000052384018%3BsingleToolCode%3AmillionSubsidy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,98,(2713)
[12-13/9 - XU 20%] Sáp OLD SPICE Nhập Khẩu Mỹ Khử Mùi và Ngăn Tiết Mồ Hôi Hương Timber/ Wolfthorn/ Fiji/ Bearglove/ Deep Sea with Ocean Elemen/ SpiceCaptain/ NightPanther Chai 73G,"176,000", -12%,https://www.lazada.vn/products/pdp-i1504184843-s6302201978.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A6302201978%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A176000%3BdisplayPrice%3A176000%3BsinglePromotionId%3A900000052384018%3BsingleToolCode%3AmillionSubsidy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(2291)
Sản Phẩm Dinh Dưỡng Nestlé NAN OPTIPRO PLUS 1 800g/lon với 5HMO Sản Xuất Tại Thụy Sĩ,"521,000",No discount,https://www.lazada.vn/products/pdp-i2230874853-s10707010672.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A10707010672%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A521000%3BdisplayPrice%3A521000%3BsinglePromotionId%3A900000052352222%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(13213)
"Lõi Xịt Thơm Phòng Tự Động Glade 7 mùi 252ml Hương Lavender, Hương Biển,Hoa anh Đào, Hương Sớm mai, trầm hương, peony","139,000", -13%,https://www.lazada.vn/products/pdp-i2742698813-s13899552130.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A13899552130%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A139000%3BdisplayPrice%3A139000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790302,https://img.lazcdn.com/g/ff/kf/S14bc2bea73c84d6aad7343c4d55ceb2ci.jpg_400x400q80.jpg,100,(122)
MAKI - Tất Maki,"85,000",No discount,https://www.lazada.vn/products/pdp-i2170878069-s14071528524.html?pvid=71f12e8b-60af-4568-b4f8-dbac2696ea2b&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A14071528524%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3A71f12e8b-60af-4568-b4f8-dbac2696ea2b%3BoriginPrice%3A85000%3BdisplayPrice%3A85000%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734790303,No image,100,(53)
"FREESHIP MAX-Ấm đun siêu tốc, Bình đun nước siêu tốc 2.3L - Bảo Hành 1 Năm - An toàn cho mọi gia đình, ấm đun nước siêu tốc, âm nước siêu tốc thái lan, bình đun nước giữ nhiệt, am sieu toc giá rẻ, bình nấu nước siêu tốc","95,000", -37%,https://www.lazada.vn/products/pdp-i2074241627-s9709094764.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9709094764%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A95000%3BdisplayPrice%3A95000%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,96,(240)
"Combo 2 Túi nước giặt Lix siêu sạch hương hoa anh đào 2.4Kg 2C-N2503 sạch khử khuẩn, kết hợp giặt xả 2 trong 1 - Lixco Việt Nam","139,000", -37%,https://www.lazada.vn/products/pdp-i2061193434-s9628749678.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9628749678%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A139000%3BdisplayPrice%3A139000%3BsinglePromotionId%3A900000052208336%3BsingleToolCode%3AstoreFlashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,100,(3879)
Bỉm quần/tã quần/tã dán 50/100 miếng！tả quần 100 miếng giá rẻ！tả quần cho bé	！tả dán bé sơ sinh！tã dán trẻ sơ sinh！bỉm dán cho bé sơ sinh！Siêu thoáng khí nam và nữ em bé siêu hấp thụ tã！Tã đang được giảm giá!,"92,000", -6%,https://www.lazada.vn/products/pdp-i2421557214-s11932641607.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A11932641607%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A92000%3BdisplayPrice%3A92000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,https://img.lazcdn.com/g/p/3ab8cd26559c71cfbde225d65046fef6.jpg_400x400q80.jpg,98,(1013)
"Combo 100 bút bi nước viết êm tay không lem mực ra tay, bút bi giá rẻ màu xanh, đồ dùng cho học sinh, văn phòng phẩm","43,000", -46%,https://www.lazada.vn/products/pdp-i2033155507-s9480508417.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9480508417%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A43000%3BdisplayPrice%3A43000%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,https://img.lazcdn.com/g/p/7f2e7b2ecd634f1a44293b14f4de6e0f.jpg_400x400q80.jpg,100,(41)
Kẹo Đậu Phộng Mạch Nha Mè Trắng 13 miếng,"19,200", -54%,https://www.lazada.vn/products/pdp-i1229884057-s4560766461.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A4560766461%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A19200%3BdisplayPrice%3A19200%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,98,(807)
Thùng 24 Lon Nước Uống Có Gaz Aquafina Soda (320ml/lon),"148,900", -17%,https://www.lazada.vn/products/pdp-i2040763596-s9525241266.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9525241266%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A148900%3BdisplayPrice%3A148900%3BsinglePromotionId%3A900000052384018%3BsingleToolCode%3AmillionSubsidy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,100,(1804)
HTC NE19 Tai nghe dịch thuật thời gian thực AI Dịch 150 ngôn ngữTai nghe dịch thuật AI Tai nghe không dây Bluetooth OWS V6.0 chống nước IPX5  Thiết Kế Móc Tai Pin Trâu,"208,800", -60%,https://www.lazada.vn/products/pdp-i3123852339-s15027339676.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A15027339676%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A208800%3BdisplayPrice%3A208800%3BsinglePromotionId%3A900000052212796%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,98,(209)
Wurkkos WK03 LED Flashlight 18650 Torch 1800LM ATR Luminus SST40 Rechargeable USB C Light IP68 Waterproof for Hiking Camping,"359,804", -29%,https://www.lazada.vn/products/pdp-i1977947828-s9168576061.html?pvid=ea8437d1-e456-4d46-9170-fda07d71ba53&search=jfy&scm=1007.17519.386432.0&priceCompare=skuId%3A9168576061%3Bsource%3Atpp-recommend-plugin-32104%3Bsn%3Aea8437d1-e456-4d46-9170-fda07d71ba53%3BoriginPrice%3A359804%3BdisplayPrice%3A359804%3BsinglePromotionId%3A900000051768079%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1757734797574,No image,100,(945)
